[fangmq@cn18%yhstar 1_sizeof]$ ./tb_thread 
conflictnum	blocks	threads	aver	min	max	(clocks)
32	672	256		254.434898	216.426056	255.948975
1	704	256		254.887644	216.598190	255.920853
2	704	256		254.893165	216.475006	255.920593
4	704	256		254.507417	216.997665	255.973450
8	704	256		254.480497	216.642715	255.976837
16	704	256		254.865865	216.610687	255.952881
32	704	256		254.893031	218.060944	255.907822
1	736	256		254.888730	216.445328	255.958603
2	736	256		254.884247	218.176056	255.962509
4	736	256		254.910135	218.241425	255.936737
8	736	256		254.904375	216.222931	255.962250
16	736	256		254.914000	216.381775	255.902618
32	736	256		254.875905	216.041672	255.902618
1	768	256		254.585832	218.027878	255.957825
2	768	256		254.488394	216.539078	256.018250
4	768	256		254.639983	218.538818	255.930481
8	768	256		254.570886	216.942200	255.946365
16	768	256		254.270953	218.636475	255.897934
32	768	256		254.167203	215.942200	255.926315
1	800	256		254.571488	216.643494	255.981003
2	800	256		254.597769	216.708084	255.933868
4	800	256		254.590229	216.678131	256.020081
8	800	256		254.561567	216.628143	255.940643
16	800	256		254.933353	218.356781	255.947662
32	800	256		254.888054	216.798706	255.917465
1	832	256		255.240466	254.708603	255.959381
2	832	256		255.237010	254.700012	255.972672
4	832	256		255.265101	254.769547	255.951843
8	832	256		255.253393	254.808350	256.026581
16	832	256		255.232955	254.788818	255.964081
32	832	256		255.266372	254.730743	255.915634
1	864	256		254.634224	216.202621	255.956787
2	864	256		254.661425	217.119019	255.949234
4	864	256		254.968005	216.402878	255.928925
8	864	256		254.268917	216.026840	255.908081
16	864	256		254.582450	216.794022	255.991684
32	864	256		254.590060	216.919281	255.936737
1	896	256		254.602289	216.245056	255.914078
2	896	256		254.609364	216.127869	255.921371
4	896	256		254.605674	217.501572	255.964340
8	896	256		254.585308	216.222931	255.982559
16	896	256		254.977932	223.844543	255.936218
32	896	256		254.933873	216.423447	255.928406
1	928	256		255.262246	254.728653	255.990372
2	928	256		254.985294	223.733612	255.892197
4	928	256		254.936622	216.904434	255.951309
8	928	256		254.926652	216.335693	255.975006
16	928	256		254.905934	216.931259	255.912506
32	928	256		254.881793	216.400787	255.931519
1	960	256		254.620897	216.432556	255.952362
2	960	256		254.652667	215.838028	255.971375
