[fangmq@cn18%yhstar memory_latency]$ ./latency 
step:register	 constant	 shared	 local	 global	 texture
189:	0.226302	121.086983	47.406513	205.495056	220.372665	109.933342
190:	0.223958	121.077347	47.760941	202.480225	217.408600	105.978653
191:	0.157292	121.091148	47.435680	205.460434	220.378143	109.940628
192:	0.157292	121.082558	47.738285	203.514587	218.443497	105.978134
193:	0.253125	98.961723	47.567711	204.485168	219.388809	109.932037
194:	0.221354	121.083862	47.552345	203.488556	218.418762	105.986984
195:	0.152083	53.982555	47.793232	204.473190	219.370331	109.927086
196:	0.221354	121.082298	47.531513	203.489594	218.429443	105.971359
197:	0.157292	121.085426	47.406513	205.483337	220.388809	109.939331
198:	0.185938	86.501045	47.738285	203.493759	218.410950	105.977089
199:	0.220313	121.088028	47.406513	205.478134	220.383087	109.940628
200:	0.188542	121.003914	47.760941	202.486465	217.438034	105.983597
201:	0.226302	121.046364	47.553909	205.459381	220.358612	109.928131
202:	0.216146	121.084122	47.760941	202.511734	217.411987	105.973701
203:	0.183333	121.086464	47.738285	205.462509	220.386475	109.938545
204:	0.156771	85.173706	47.760941	202.498184	217.387512	105.978394
205:	0.151823	58.242710	47.756775	204.478394	219.377090	109.938545
206:	0.183594	103.150009	47.738285	203.521881	218.426056	105.975525
207:	0.193490	121.078911	47.760941	204.492981	219.380997	109.939590
208:	0.153906	121.077873	47.760941	202.511734	217.422668	105.974487
209:	0.190104	121.078911	47.730732	204.479172	219.422928	109.936203
210:	0.152604	120.950264	47.760941	202.541412	217.369537	105.975266
211:	0.186198	121.088547	47.738285	205.461472	220.387253	109.942711
212:	0.191406	67.484642	47.760941	202.510681	217.407822	105.969017
213:	0.157292	121.083336	47.738285	205.483612	220.365891	109.935425
214:	0.151302	121.079430	47.760941	202.502869	217.411728	105.984123
215:	0.222656	98.709641	47.738285	205.457306	220.395065	109.936981
216:	0.191406	85.775269	47.760941	202.507034	217.403397	105.989853
217:	0.152083	121.077873	47.730732	204.479431	219.386993	109.937248
218:	0.225000	121.088806	47.738285	203.526306	218.429703	105.979431
219:	0.222396	103.799225	47.756775	204.487244	219.363815	109.937248
220:	0.221875	121.078392	47.738285	202.494537	217.413025	105.979172
